title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,taxid_ch1,hyb_protocol,scan_protocol,description,data_processing,platform_id,contact_name,contact_email,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,supplementary_file,data_row_count
"""AFX platform, lab 2, matched normal colon tissue, biological rep 1""","""GSM1014808""","""Public on Oct 03 2012""","""Oct 03 2012""","""Oct 03 2012""","""RNA""","""1""","""Sample type N (Normal, matched normal colon tissue)""","""Homo sapiens""","""lab: 2""","""total RNA""","""Colorectal adenocarcinomas and matched normal colonic RNA sample were purchased from Oncomatrix, Inc., San Diego, CA.""","""biotin""","""5 Âµg of total RNA was used to synthesize cRNA for each sample.""","""9606""","""20 Âµg of cRNA was hybridized to each individual microarray (HG-U133-Plus-2.0). The microarrays were hybridized for 16 hours at 45Â°C, stained, and washed according to an Affymetrix protocol (EukGE-WS2v4) using an Affymetrix fluidics station.""","""GeneChips were scanned using the Affymetrix scanner.""","""AFX_2_N1""","""The CEL file data were analyzed with BioConductor to generate probeset level data using the justPlier() function. Probe-level data were quantile normalized before PLIER summarization per test site (10 arrays). An offset value of 16 was then added to each probeset-level data point.""","""GPL570""","""Chieh-Chun,,Chen""","""cchen63@illinois.edu""","""Bioengineering""","""University of illinois""","""1206 West Gregory Drive""","""Urbana""","""Illinois""","""61801""","""USA""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1014nnn/GSM1014808/suppl/GSM1014808_AFX_2_N1.CEL.gz""","""54675"""
"""AFX platform, lab 2, matched normal colon tissue, biological rep 2""","""GSM1014809""","""Public on Oct 03 2012""","""Oct 03 2012""","""Oct 03 2012""","""RNA""","""1""","""Sample type N (Normal, matched normal colon tissue)""","""Homo sapiens""","""lab: 2""","""total RNA""","""Colorectal adenocarcinomas and matched normal colonic RNA sample were purchased from Oncomatrix, Inc., San Diego, CA.""","""biotin""","""5 Âµg of total RNA was used to synthesize cRNA for each sample.""","""9606""","""20 Âµg of cRNA was hybridized to each individual microarray (HG-U133-Plus-2.0). The microarrays were hybridized for 16 hours at 45Â°C, stained, and washed according to an Affymetrix protocol (EukGE-WS2v4) using an Affymetrix fluidics station.""","""GeneChips were scanned using the Affymetrix scanner.""","""AFX_2_N2""","""The CEL file data were analyzed with BioConductor to generate probeset level data using the justPlier() function. Probe-level data were quantile normalized before PLIER summarization per test site (10 arrays). An offset value of 16 was then added to each probeset-level data point.""","""GPL570""","""Chieh-Chun,,Chen""","""cchen63@illinois.edu""","""Bioengineering""","""University of illinois""","""1206 West Gregory Drive""","""Urbana""","""Illinois""","""61801""","""USA""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1014nnn/GSM1014809/suppl/GSM1014809_AFX_2_N2.CEL.gz""","""54675"""
"""AFX platform, lab 2, matched normal colon tissue, biological rep 3""","""GSM1014810""","""Public on Oct 03 2012""","""Oct 03 2012""","""Oct 03 2012""","""RNA""","""1""","""Sample type N (Normal, matched normal colon tissue)""","""Homo sapiens""","""lab: 2""","""total RNA""","""Colorectal adenocarcinomas and matched normal colonic RNA sample were purchased from Oncomatrix, Inc., San Diego, CA.""","""biotin""","""5 Âµg of total RNA was used to synthesize cRNA for each sample.""","""9606""","""20 Âµg of cRNA was hybridized to each individual microarray (HG-U133-Plus-2.0). The microarrays were hybridized for 16 hours at 45Â°C, stained, and washed according to an Affymetrix protocol (EukGE-WS2v4) using an Affymetrix fluidics station.""","""GeneChips were scanned using the Affymetrix scanner.""","""AFX_2_N3""","""The CEL file data were analyzed with BioConductor to generate probeset level data using the justPlier() function. Probe-level data were quantile normalized before PLIER summarization per test site (10 arrays). An offset value of 16 was then added to each probeset-level data point.""","""GPL570""","""Chieh-Chun,,Chen""","""cchen63@illinois.edu""","""Bioengineering""","""University of illinois""","""1206 West Gregory Drive""","""Urbana""","""Illinois""","""61801""","""USA""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1014nnn/GSM1014810/suppl/GSM1014810_AFX_2_N3.CEL.gz""","""54675"""
"""AFX platform, lab 2, matched normal colon tissue, biological rep 4""","""GSM1014811""","""Public on Oct 03 2012""","""Oct 03 2012""","""Oct 03 2012""","""RNA""","""1""","""Sample type N (Normal, matched normal colon tissue)""","""Homo sapiens""","""lab: 2""","""total RNA""","""Colorectal adenocarcinomas and matched normal colonic RNA sample were purchased from Oncomatrix, Inc., San Diego, CA.""","""biotin""","""5 Âµg of total RNA was used to synthesize cRNA for each sample.""","""9606""","""20 Âµg of cRNA was hybridized to each individual microarray (HG-U133-Plus-2.0). The microarrays were hybridized for 16 hours at 45Â°C, stained, and washed according to an Affymetrix protocol (EukGE-WS2v4) using an Affymetrix fluidics station.""","""GeneChips were scanned using the Affymetrix scanner.""","""AFX_2_N4""","""The CEL file data were analyzed with BioConductor to generate probeset level data using the justPlier() function. Probe-level data were quantile normalized before PLIER summarization per test site (10 arrays). An offset value of 16 was then added to each probeset-level data point.""","""GPL570""","""Chieh-Chun,,Chen""","""cchen63@illinois.edu""","""Bioengineering""","""University of illinois""","""1206 West Gregory Drive""","""Urbana""","""Illinois""","""61801""","""USA""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1014nnn/GSM1014811/suppl/GSM1014811_AFX_2_N4.CEL.gz""","""54675"""
"""AFX platform, lab 2, matched normal colon tissue, biological rep 5""","""GSM1014812""","""Public on Oct 03 2012""","""Oct 03 2012""","""Oct 03 2012""","""RNA""","""1""","""Sample type N (Normal, matched normal colon tissue)""","""Homo sapiens""","""lab: 2""","""total RNA""","""Colorectal adenocarcinomas and matched normal colonic RNA sample were purchased from Oncomatrix, Inc., San Diego, CA.""","""biotin""","""5 Âµg of total RNA was used to synthesize cRNA for each sample.""","""9606""","""20 Âµg of cRNA was hybridized to each individual microarray (HG-U133-Plus-2.0). The microarrays were hybridized for 16 hours at 45Â°C, stained, and washed according to an Affymetrix protocol (EukGE-WS2v4) using an Affymetrix fluidics station.""","""GeneChips were scanned using the Affymetrix scanner.""","""AFX_2_N5""","""The CEL file data were analyzed with BioConductor to generate probeset level data using the justPlier() function. Probe-level data were quantile normalized before PLIER summarization per test site (10 arrays). An offset value of 16 was then added to each probeset-level data point.""","""GPL570""","""Chieh-Chun,,Chen""","""cchen63@illinois.edu""","""Bioengineering""","""University of illinois""","""1206 West Gregory Drive""","""Urbana""","""Illinois""","""61801""","""USA""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1014nnn/GSM1014812/suppl/GSM1014812_AFX_2_N5.CEL.gz""","""54675"""
"""AFX platform, lab 2, tumor, colon adenocarcinoma, biological rep 1""","""GSM1014813""","""Public on Oct 03 2012""","""Oct 03 2012""","""Oct 03 2012""","""RNA""","""1""","""Sample type T (Tumor, colon adenocarcinoma)""","""Homo sapiens""","""lab: 2""","""total RNA""","""Colorectal adenocarcinomas and matched normal colonic RNA sample were purchased from Oncomatrix, Inc., San Diego, CA.""","""biotin""","""5 Âµg of total RNA was used to synthesize cRNA for each sample.""","""9606""","""20 Âµg of cRNA was hybridized to each individual microarray (HG-U133-Plus-2.0). The microarrays were hybridized for 16 hours at 45Â°C, stained, and washed according to an Affymetrix protocol (EukGE-WS2v4) using an Affymetrix fluidics station.""","""GeneChips were scanned using the Affymetrix scanner.""","""AFX_2_T1""","""The CEL file data were analyzed with BioConductor to generate probeset level data using the justPlier() function. Probe-level data were quantile normalized before PLIER summarization per test site (10 arrays). An offset value of 16 was then added to each probeset-level data point.""","""GPL570""","""Chieh-Chun,,Chen""","""cchen63@illinois.edu""","""Bioengineering""","""University of illinois""","""1206 West Gregory Drive""","""Urbana""","""Illinois""","""61801""","""USA""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1014nnn/GSM1014813/suppl/GSM1014813_AFX_2_T1.CEL.gz""","""54675"""
"""AFX platform, lab 2, tumor, colon adenocarcinoma, biological rep 2""","""GSM1014814""","""Public on Oct 03 2012""","""Oct 03 2012""","""Oct 03 2012""","""RNA""","""1""","""Sample type T (Tumor, colon adenocarcinoma)""","""Homo sapiens""","""lab: 2""","""total RNA""","""Colorectal adenocarcinomas and matched normal colonic RNA sample were purchased from Oncomatrix, Inc., San Diego, CA.""","""biotin""","""5 Âµg of total RNA was used to synthesize cRNA for each sample.""","""9606""","""20 Âµg of cRNA was hybridized to each individual microarray (HG-U133-Plus-2.0). The microarrays were hybridized for 16 hours at 45Â°C, stained, and washed according to an Affymetrix protocol (EukGE-WS2v4) using an Affymetrix fluidics station.""","""GeneChips were scanned using the Affymetrix scanner.""","""AFX_2_T2""","""The CEL file data were analyzed with BioConductor to generate probeset level data using the justPlier() function. Probe-level data were quantile normalized before PLIER summarization per test site (10 arrays). An offset value of 16 was then added to each probeset-level data point.""","""GPL570""","""Chieh-Chun,,Chen""","""cchen63@illinois.edu""","""Bioengineering""","""University of illinois""","""1206 West Gregory Drive""","""Urbana""","""Illinois""","""61801""","""USA""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1014nnn/GSM1014814/suppl/GSM1014814_AFX_2_T2.CEL.gz""","""54675"""
"""AFX platform, lab 2, tumor, colon adenocarcinoma, biological rep 3""","""GSM1014815""","""Public on Oct 03 2012""","""Oct 03 2012""","""Oct 03 2012""","""RNA""","""1""","""Sample type T (Tumor, colon adenocarcinoma)""","""Homo sapiens""","""lab: 2""","""total RNA""","""Colorectal adenocarcinomas and matched normal colonic RNA sample were purchased from Oncomatrix, Inc., San Diego, CA.""","""biotin""","""5 Âµg of total RNA was used to synthesize cRNA for each sample.""","""9606""","""20 Âµg of cRNA was hybridized to each individual microarray (HG-U133-Plus-2.0). The microarrays were hybridized for 16 hours at 45Â°C, stained, and washed according to an Affymetrix protocol (EukGE-WS2v4) using an Affymetrix fluidics station.""","""GeneChips were scanned using the Affymetrix scanner.""","""AFX_2_T3""","""The CEL file data were analyzed with BioConductor to generate probeset level data using the justPlier() function. Probe-level data were quantile normalized before PLIER summarization per test site (10 arrays). An offset value of 16 was then added to each probeset-level data point.""","""GPL570""","""Chieh-Chun,,Chen""","""cchen63@illinois.edu""","""Bioengineering""","""University of illinois""","""1206 West Gregory Drive""","""Urbana""","""Illinois""","""61801""","""USA""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1014nnn/GSM1014815/suppl/GSM1014815_AFX_2_T3.CEL.gz""","""54675"""
"""AFX platform, lab 2, tumor, colon adenocarcinoma, biological rep 4""","""GSM1014816""","""Public on Oct 03 2012""","""Oct 03 2012""","""Oct 03 2012""","""RNA""","""1""","""Sample type T (Tumor, colon adenocarcinoma)""","""Homo sapiens""","""lab: 2""","""total RNA""","""Colorectal adenocarcinomas and matched normal colonic RNA sample were purchased from Oncomatrix, Inc., San Diego, CA.""","""biotin""","""5 Âµg of total RNA was used to synthesize cRNA for each sample.""","""9606""","""20 Âµg of cRNA was hybridized to each individual microarray (HG-U133-Plus-2.0). The microarrays were hybridized for 16 hours at 45Â°C, stained, and washed according to an Affymetrix protocol (EukGE-WS2v4) using an Affymetrix fluidics station.""","""GeneChips were scanned using the Affymetrix scanner.""","""AFX_2_T4""","""The CEL file data were analyzed with BioConductor to generate probeset level data using the justPlier() function. Probe-level data were quantile normalized before PLIER summarization per test site (10 arrays). An offset value of 16 was then added to each probeset-level data point.""","""GPL570""","""Chieh-Chun,,Chen""","""cchen63@illinois.edu""","""Bioengineering""","""University of illinois""","""1206 West Gregory Drive""","""Urbana""","""Illinois""","""61801""","""USA""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1014nnn/GSM1014816/suppl/GSM1014816_AFX_2_T4.CEL.gz""","""54675"""
"""AFX platform, lab 2, tumor, colon adenocarcinoma, biological rep 5""","""GSM1014817""","""Public on Oct 03 2012""","""Oct 03 2012""","""Oct 03 2012""","""RNA""","""1""","""Sample type T (Tumor, colon adenocarcinoma)""","""Homo sapiens""","""lab: 2""","""total RNA""","""Colorectal adenocarcinomas and matched normal colonic RNA sample were purchased from Oncomatrix, Inc., San Diego, CA.""","""biotin""","""5 Âµg of total RNA was used to synthesize cRNA for each sample.""","""9606""","""20 Âµg of cRNA was hybridized to each individual microarray (HG-U133-Plus-2.0). The microarrays were hybridized for 16 hours at 45Â°C, stained, and washed according to an Affymetrix protocol (EukGE-WS2v4) using an Affymetrix fluidics station.""","""GeneChips were scanned using the Affymetrix scanner.""","""AFX_2_T5""","""The CEL file data were analyzed with BioConductor to generate probeset level data using the justPlier() function. Probe-level data were quantile normalized before PLIER summarization per test site (10 arrays). An offset value of 16 was then added to each probeset-level data point.""","""GPL570""","""Chieh-Chun,,Chen""","""cchen63@illinois.edu""","""Bioengineering""","""University of illinois""","""1206 West Gregory Drive""","""Urbana""","""Illinois""","""61801""","""USA""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1014nnn/GSM1014817/suppl/GSM1014817_AFX_2_T5.CEL.gz""","""54675"""
