title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,taxid_ch1,hyb_protocol,scan_protocol,description,data_processing,platform_id,contact_name,contact_email,contact_institute,contact_address,contact_city,contact_zip/postal_code,contact_country,supplementary_file,data_row_count
"""Normal N9 (1855529002_A)""","""GSM277507""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529002_A""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Normal""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Primay tumor T9 (1855529002_B)""","""GSM277508""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529002_B""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Primay tumor""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Normal N11 (1855529002_E)""","""GSM277509""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529002_E""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Normal""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Primay tumor T11 (1855529002_F)""","""GSM277510""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529002_F""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Primay tumor""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Normal N12 (1855529002_G)""","""GSM277511""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529002_G""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Normal""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Primay tumor T12 (1855529002_H)""","""GSM277512""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529002_H""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Primay tumor""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Normal N13 (1855529014_A)""","""GSM277513""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529014_A""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Normal""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Primay tumor T13 (1855529014_B)""","""GSM277514""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529014_B""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Primay tumor""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Normal N14 (1855529014_C)""","""GSM277515""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529014_C""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Normal""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Primay tumor T14 (1855529014_D)""","""GSM277516""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529014_D""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Primay tumor""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Normal N15 (1855529014_E)""","""GSM277517""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529014_E""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Normal""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Primay tumor T15 (1855529014_F)""","""GSM277518""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529014_F""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Primay tumor""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Normal N16 (1855529014_G)""","""GSM277519""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529014_G""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Normal""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Primay tumor T16 (1855529014_H)""","""GSM277520""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529014_H""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Primay tumor""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Normal N17 (1855529015_A)""","""GSM277521""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529015_A""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Normal""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Primay tumor T17 (1855529015_B)""","""GSM277522""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529015_B""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Primay tumor""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Normal N18 (1855529015_C)""","""GSM277523""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529015_C""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Normal""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Primay tumor T18 (1855529015_D)""","""GSM277524""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529015_D""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Primay tumor""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Normal N19 (1855529015_E)""","""GSM277525""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529015_E""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Normal""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Primay tumor T19 (1855529015_F)""","""GSM277526""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529015_F""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Primay tumor""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Normal N20 (1855529015_G)""","""GSM277527""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529015_G""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Normal""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Primay tumor T20 (1855529015_H)""","""GSM277528""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529015_H""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Primay tumor""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Normal N21 (1855529019_A)""","""GSM277529""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529019_A""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Normal""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Primay tumor T21 (1855529019_B)""","""GSM277530""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529019_B""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Primay tumor""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Normal N22 (1855529019_C)""","""GSM277531""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529019_C""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Normal""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Primay tumor T22 (1855529019_D)""","""GSM277532""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529019_D""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Primay tumor""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Normal N24 (1855529019_E)""","""GSM277533""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529019_E""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Normal""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Primay tumor T24 (1855529019_F)""","""GSM277534""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529019_F""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Primay tumor""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Normal N25 (1855529019_G)""","""GSM277535""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529019_G""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Normal""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Primay tumor T25 (1855529019_H)""","""GSM277536""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529019_H""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Primay tumor""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Normal N26 (1855529021_A)""","""GSM277537""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529021_A""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Normal""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Primay tumor T26 (1855529021_B)""","""GSM277538""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529021_B""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Primay tumor""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Normal N27 (1855529021_C)""","""GSM277539""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529021_C""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Normal""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Primay tumor T27 (1855529021_D)""","""GSM277540""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529021_D""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Primay tumor""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Primay tumor T28 (1855529021_E)""","""GSM277541""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529021_E""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Primay tumor""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Normal N28 (1855529021_F)""","""GSM277542""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1855529021_F""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Normal""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
