title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,treatment_protocol_ch1,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,taxid_ch1,hyb_protocol,scan_protocol,description,data_processing,platform_id,contact_name,contact_email,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,supplementary_file,data_row_count
"""non-cancerous surrounding tissue-11""","""GSM3108241""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""non-cancerous colorectal tissue""","""Homo sapiens""","""tissue: non-cancerous colorectal""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from non-cancerous colorectal tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108241/suppl/GSM3108241_N11.CEL.gz""","""49395"""
"""non-cancerous surrounding tissue-12""","""GSM3108242""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""non-cancerous colorectal tissue""","""Homo sapiens""","""tissue: non-cancerous colorectal""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from non-cancerous colorectal tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108242/suppl/GSM3108242_N12.CEL.gz""","""49395"""
"""non-cancerous surrounding tissue-13""","""GSM3108243""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""non-cancerous colorectal tissue""","""Homo sapiens""","""tissue: non-cancerous colorectal""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from non-cancerous colorectal tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108243/suppl/GSM3108243_N13.CEL.gz""","""49395"""
"""non-cancerous surrounding tissue-14""","""GSM3108244""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""non-cancerous colorectal tissue""","""Homo sapiens""","""tissue: non-cancerous colorectal""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from non-cancerous colorectal tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108244/suppl/GSM3108244_N14.CEL.gz""","""49395"""
"""colorectal carcinoma tissue-1""","""GSM3108245""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""colorectal carcinoma tissues""","""Homo sapiens""","""tissue: colorectal carcinoma""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from colorectal carcinoma tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108245/suppl/GSM3108245_T1.CEL.gz""","""49395"""
"""colorectal carcinoma tissue-2""","""GSM3108246""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""colorectal carcinoma tissues""","""Homo sapiens""","""tissue: colorectal carcinoma""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from colorectal carcinoma tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108246/suppl/GSM3108246_T2.CEL.gz""","""49395"""
"""colorectal carcinoma tissue-3""","""GSM3108247""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""colorectal carcinoma tissues""","""Homo sapiens""","""tissue: colorectal carcinoma""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from colorectal carcinoma tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108247/suppl/GSM3108247_T3.CEL.gz""","""49395"""
"""colorectal carcinoma tissue-4""","""GSM3108248""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""colorectal carcinoma tissues""","""Homo sapiens""","""tissue: colorectal carcinoma""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from colorectal carcinoma tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108248/suppl/GSM3108248_T4.CEL.gz""","""49395"""
"""colorectal carcinoma tissue-5""","""GSM3108249""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""colorectal carcinoma tissues""","""Homo sapiens""","""tissue: colorectal carcinoma""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from colorectal carcinoma tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108249/suppl/GSM3108249_T5.CEL.gz""","""49395"""
"""colorectal carcinoma tissue-6""","""GSM3108250""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""colorectal carcinoma tissues""","""Homo sapiens""","""tissue: colorectal carcinoma""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from colorectal carcinoma tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108250/suppl/GSM3108250_T6.CEL.gz""","""49395"""
"""colorectal carcinoma tissue-7""","""GSM3108251""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""colorectal carcinoma tissues""","""Homo sapiens""","""tissue: colorectal carcinoma""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from colorectal carcinoma tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108251/suppl/GSM3108251_T7.CEL.gz""","""49395"""
"""colorectal carcinoma tissue-8""","""GSM3108252""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""colorectal carcinoma tissues""","""Homo sapiens""","""tissue: colorectal carcinoma""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from colorectal carcinoma tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108252/suppl/GSM3108252_T8.CEL.gz""","""49395"""
"""colorectal carcinoma tissue-9""","""GSM3108253""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""colorectal carcinoma tissues""","""Homo sapiens""","""tissue: colorectal carcinoma""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from colorectal carcinoma tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108253/suppl/GSM3108253_T9.CEL.gz""","""49395"""
"""colorectal carcinoma tissue-10""","""GSM3108254""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""colorectal carcinoma tissues""","""Homo sapiens""","""tissue: colorectal carcinoma""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from colorectal carcinoma tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108254/suppl/GSM3108254_T10.CEL.gz""","""49395"""
"""colorectal carcinoma tissue-11""","""GSM3108255""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""colorectal carcinoma tissues""","""Homo sapiens""","""tissue: colorectal carcinoma""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from colorectal carcinoma tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108255/suppl/GSM3108255_T11.CEL.gz""","""49395"""
"""colorectal carcinoma tissue-12""","""GSM3108256""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""colorectal carcinoma tissues""","""Homo sapiens""","""tissue: colorectal carcinoma""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from colorectal carcinoma tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108256/suppl/GSM3108256_T12.CEL.gz""","""49395"""
"""colorectal carcinoma tissue-13""","""GSM3108257""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""colorectal carcinoma tissues""","""Homo sapiens""","""tissue: colorectal carcinoma""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from colorectal carcinoma tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108257/suppl/GSM3108257_T13.CEL.gz""","""49395"""
"""colorectal carcinoma tissue-14""","""GSM3108258""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""colorectal carcinoma tissues""","""Homo sapiens""","""tissue: colorectal carcinoma""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from colorectal carcinoma tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108258/suppl/GSM3108258_T14.CEL.gz""","""49395"""
